구분,일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,power
동해하수종말처리장 태양광,2018-07-15,0,0,0,0,0,2,95,457,923,1303,401,313,310,313,1467,1348,983,535,146,7,0,0,0,0,8603
동해하수종말처리장 태양광,2018-07-16,0,0,0,0,0,0,97,452,905,1294,380,316,310,313,1346,1323,945,511,151,9,0,0,0,0,8352
동해하수종말처리장 태양광,2018-07-17,0,0,0,0,0,2,104,439,875,1233,380,311,311,310,1334,1271,914,490,153,5,0,0,0,0,8132
동해하수종말처리장 태양광,2018-07-18,0,0,0,0,0,2,92,450,904,1282,382,311,311,311,1427,1341,972,517,148,7,0,0,0,0,8457
동해하수종말처리장 태양광,2018-07-19,0,0,0,0,0,2,101,414,842,1271,382,313,311,311,1456,1319,931,506,148,7,0,0,0,0,8314
동해하수종말처리장 태양광,2018-07-20,0,0,0,0,0,0,94,446,891,1267,383,314,310,311,1375,1314,932,490,139,5,0,0,0,0,8271
동해하수종말처리장 태양광,2018-07-21,0,0,0,0,0,0,103,423,844,1210,382,315,311,310,1089,1271,909,479,140,7,0,0,0,0,7793
동해하수종말처리장 태양광,2018-07-22,0,0,0,0,0,0,101,414,846,1220,382,313,313,313,929,1215,736,423,137,14,0,0,0,0,7356
동해하수종말처리장 태양광,2018-07-23,0,0,0,0,0,25,191,407,605,995,369,320,310,311,396,920,565,279,83,4,0,0,0,0,5780
동해하수종말처리장 태양광,2018-07-24,0,0,0,0,0,0,97,391,808,1186,382,313,313,311,1013,1226,785,292,85,0,0,0,0,0,7202
동해하수종말처리장 태양광,2018-07-25,0,0,0,0,0,0,110,389,776,1107,382,313,308,320,317,1174,815,432,112,5,0,0,0,0,6560
동해하수종말처리장 태양광,2018-07-26,0,0,0,0,0,0,86,385,799,1174,383,312,313,311,1024,1235,859,423,97,4,0,0,0,0,7405
동해하수종말처리장 태양광,2018-07-27,0,0,0,0,0,0,97,382,788,1168,383,316,311,311,977,1238,607,220,94,4,0,0,0,0,6896
동해하수종말처리장 태양광,2018-07-28,0,0,0,0,0,0,83,261,565,799,355,326,326,317,311,315,369,104,52,0,0,0,0,0,4183
동해하수종말처리장 태양광,2018-07-29,0,0,0,0,0,0,63,524,551,1030,387,362,374,450,311,317,193,74,31,0,0,0,0,0,4667
동해하수종말처리장 태양광,2018-07-30,0,0,0,0,0,5,191,243,702,1285,391,314,382,356,310,1064,992,551,65,0,0,0,0,0,6851
동해하수종말처리장 태양광,2018-07-31,0,0,0,0,0,0,85,423,851,1256,392,321,324,308,1289,1352,983,518,124,0,0,0,0,0,8226
동해하수종말처리장 태양광,2018-08-01,0,0,0,0,0,0,70,425,880,1274,392,313,319,572,1249,1364,983,518,128,2,0,0,0,0,8489
동해하수종말처리장 태양광,2018-08-02,0,0,0,0,0,0,85,405,841,1213,391,313,308,311,1260,1143,803,475,121,0,0,0,0,0,7669
동해하수종말처리장 태양광,2018-08-03,0,0,0,0,0,0,103,387,792,1179,391,312,310,311,1136,1242,873,380,117,0,0,0,0,0,7533
동해하수종말처리장 태양광,2018-08-04,0,0,0,0,0,0,95,371,772,1145,391,311,311,311,945,1224,828,436,108,0,0,0,0,0,7248
동해하수종말처리장 태양광,2018-08-05,0,0,0,0,0,0,68,405,837,1231,396,311,315,310,868,1246,542,346,61,0,0,0,0,0,6936
동해하수종말처리장 태양광,2018-08-06,0,0,0,0,0,4,14,0,0,0,0,7,27,88,176,90,18,31,11,0,0,0,0,0,466
동해하수종말처리장 태양광,2018-08-07,0,0,0,0,0,0,43,279,526,756,364,331,313,322,319,362,626,310,113,0,0,0,0,0,4664
동해하수종말처리장 태양광,2018-08-08,0,0,0,0,0,0,79,182,787,1148,353,319,320,308,317,349,463,86,88,0,0,0,0,0,4799
동해하수종말처리장 태양광,2018-08-09,0,0,0,0,0,0,13,140,365,643,382,327,313,304,311,313,169,180,14,0,0,0,0,0,3474
동해하수종말처리장 태양광,2018-08-10,0,0,0,0,0,0,2,27,103,302,313,314,306,311,315,304,232,144,38,0,0,0,0,0,2711
동해하수종말처리장 태양광,2018-08-11,0,0,0,0,0,0,27,146,347,162,326,317,355,324,328,326,794,288,83,0,0,0,0,0,3823
동해하수종말처리장 태양광,2018-08-12,0,0,0,0,0,0,47,221,526,634,326,340,338,320,317,1057,851,405,52,0,0,0,0,0,5434
동해하수종말처리장 태양광,2018-08-13,0,0,0,0,0,0,74,310,680,1003,378,317,315,313,655,1276,738,319,70,0,0,0,0,0,6448
동해하수종말처리장 태양광,2018-08-14,0,0,0,0,0,0,79,358,805,1132,383,315,313,317,310,274,155,139,34,0,0,0,0,0,4614
동해하수종말처리장 태양광,2018-08-15,0,0,0,0,0,0,47,412,848,1244,383,312,310,310,1211,1242,837,434,40,0,0,0,0,0,7630
동해하수종말처리장 태양광,2018-08-16,0,0,0,0,0,0,0,59,43,34,99,207,333,347,322,376,824,508,86,0,0,0,0,0,3238
동해하수종말처리장 태양광,2018-08-17,0,0,0,0,0,0,79,353,482,666,407,311,317,425,313,403,639,272,40,0,0,0,0,0,4707
동해하수종말처리장 태양광,2018-08-18,0,0,0,0,0,0,95,286,873,1161,392,375,416,556,1703,1411,796,389,52,0,0,0,0,0,8505
동해하수종말처리장 태양광,2018-08-19,0,0,0,0,0,0,58,266,641,1069,409,336,319,324,337,1064,567,239,70,0,0,0,0,0,5699
